DATE ADDED TO MIGRATION LIST,SOURCE OF REQUEST,MIGRATION OPERATOR NAME,CUSTOMER NAME,COMPANY NAME,CONTACT NAME,EMAIL,PHONE,INDUSTRY,CUSTOMER ID,REGION,TARGET FLEX REGION,PRIORITY RANK,WAVE,FLEX READINESS SCORE,FLEX READINESS,OSPC INFRA SIZE,BUSINESS BLAST RADIUS,STACK CATEGORY,MIGRATION METHOD,OSPC VM COUNT,SIZE RANK,STATUS,CURRENT STAGE,BUSINESS SYSTEM NAME,REFERENCE ARCHITECTURE,START DATE,COMPLETION DATE,NOTES,TARGET DATE,OSPC ACCOUNT TENANT ID,BUSINESS SYSTEM TYPE,CRITICALITY,ENVIRONMENT,BUSINESS OWNER,TECHNICAL OWNER,COMPONENT COUNT,IN SCOPE COUNT,COMPONENTS,IN SCOPE COMPONENTS,OSPC SOURCE IP URL,FLEX TARGET IP URL,HEALTH TEST PATH,OSPC VOLUMES COUNT,OSPC DB COUNT,DESCRIPTION
2026-07-04,Customer,,home depot — ERP SpaceX,home depot,jack builder,jack@homedepot.com,+84793215913,erp,1342314,SJC — San Jose,SJC — San Jose,2,Wave 1,95,FLEX Ready,Large,Core,erp,Rehost,9,3,WAITING LIST,,ERP SpaceX,"5 component type: application, 1 component type: database, 1 component type: worker, 1 component type: queue, 1 component type: monitoring",2026-07-04,2026-07-10,,2026-07-10,1342314,erp,Critical,Production,SpaceX,,,9,Web Frontend | API Server | ERP Backend | Database | Batch Worker | Queue | File Storage | Reporting | Monitoring,,,,,,,
2026-07-04,Customer,,home depot — Amazon,home depot,jack builder,jack@homedepot.com,+84793215913,ecommerce,1342314,SJC — San Jose,SJC — San Jose,1,Wave 1,95,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,WAITING LIST,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",2026-07-04,2026-07-10,,2026-07-10,1342314,ecommerce,Critical,Production,Amazon,Brian,,11,Web Frontend | API Gateway | API Server | Product Catalog Backend | Database | Cache | Queue | Payment Connector | Order Worker | Search Service | Monitoring,,,,,,,
2026-07-04,Operator,Hector,space X — ERP SpaceX,space X,elon musk,elon@starlink,+1222333444,erp,1234,DFW — Dallas,DFW — Dallas,2,Wave 1,85,FLEX Ready,Large,Core,erp,Rehost,9,3,ACTIVE,,ERP SpaceX,"5 component type: application, 1 component type: database, 1 component type: worker, 1 component type: queue, 1 component type: monitoring",2026-07-05,2026-07-09,,,1234,erp,,,,,,,,,,,,,,
2026-07-04,Operator,Hector,space X — Amazon,space X,elon musk,elon@starlink,+1222333444,ecommerce,1234,DFW — Dallas,DFW — Dallas,1,Wave 1,85,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,ACTIVE,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",2026-07-05,2026-07-09,,,1234,ecommerce,,,,,,,,,,,,,,
2026-07-04,Operator,Stephen,space X — ERP SpaceX,space X,elon musk,elon@starlink,+1222333444,erp,1234,DFW — Dallas,DFW — Dallas,2,Wave 1,85,FLEX Ready,Large,Core,erp,Rehost,9,3,ACTIVE,,ERP SpaceX,"5 component type: application, 1 component type: database, 1 component type: worker, 1 component type: queue, 1 component type: monitoring",2026-07-05,2026-07-09,,,1234,erp,,,,,,,,,,,,,,
2026-07-04,Operator,Stephen,space X — Amazon,space X,elon musk,elon@starlink,+1222333444,ecommerce,1234,DFW — Dallas,DFW — Dallas,1,Wave 1,85,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,ACTIVE,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",2026-07-05,2026-07-09,,,1234,ecommerce,,,,,,,,,,,,,,
2026-07-04,Customer,,Starlink — ERP SpaceX,Starlink,Jonh dusk,elon@tesla.com,+1222333444,erp,1342314,SJC — San Jose,SJC — San Jose,2,Wave 1,95,FLEX Ready,Large,Core,erp,Rehost,9,3,WAITING LIST,,ERP SpaceX,"5 component type: application, 1 component type: database, 1 component type: worker, 1 component type: queue, 1 component type: monitoring",2026-07-04,2026-07-11,,2026-07-11,1342314,erp,Critical,Production,SpaceX,,,9,Web Frontend | API Server | ERP Backend | Database | Batch Worker | Queue | File Storage | Reporting | Monitoring,,,,,,,
2026-07-04,Customer,,Starlink — Amazon,Starlink,Jonh dusk,elon@tesla.com,+1222333444,ecommerce,1342314,SJC — San Jose,SJC — San Jose,1,Wave 1,95,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,WAITING LIST,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",2026-07-04,2026-07-11,,2026-07-11,1342314,ecommerce,Critical,Production,Amazon,Brian,,11,Web Frontend | API Gateway | API Server | Product Catalog Backend | Database | Cache | Queue | Payment Connector | Order Worker | Search Service | Monitoring,,,,,,,
2026-07-04,Customer,,Starlink — ERP SpaceX,Starlink,Jonh dusk,elon@tesla.com,+1222333444,erp,1342314,SJC — San Jose,SJC — San Jose,2,Wave 1,95,FLEX Ready,Large,Core,erp,Rehost,9,3,WAITING LIST,,ERP SpaceX,"5 component type: application, 1 component type: database, 1 component type: worker, 1 component type: queue, 1 component type: monitoring",2026-07-04,2026-07-11,,2026-07-11,1342314,erp,Critical,Production,SpaceX,,,9,Web Frontend | API Server | ERP Backend | Database | Batch Worker | Queue | File Storage | Reporting | Monitoring,,,,,,,
2026-07-04,Customer,,Starlink — Amazon,Starlink,Jonh dusk,elon@tesla.com,+1222333444,ecommerce,1342314,SJC — San Jose,SJC — San Jose,1,Wave 1,95,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,WAITING LIST,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",2026-07-04,2026-07-11,,2026-07-11,1342314,ecommerce,Critical,Production,Amazon,Brian,,11,Web Frontend | API Gateway | API Server | Product Catalog Backend | Database | Cache | Queue | Payment Connector | Order Worker | Search Service | Monitoring,,,,,,,
2026-07-04,Operator,ZAIN,space X — ERP SpaceX,space X,elon musk,elon@starlink,+1222333444,erp,1234,DFW — Dallas,DFW — Dallas,2,Wave 1,85,FLEX Ready,Large,Core,erp,Rehost,9,3,ACTIVE,,ERP SpaceX,"5 component type: application, 1 component type: database, 1 component type: worker, 1 component type: queue, 1 component type: monitoring",2026-07-05,2026-07-09,,,1234,erp,,,,,,,,,,,,,,
2026-07-04,Operator,ZAIN,space X — Amazon,space X,elon musk,elon@starlink,+1222333444,ecommerce,1234,DFW — Dallas,DFW — Dallas,1,Wave 1,85,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,ACTIVE,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",2026-07-05,2026-07-09,,,1234,ecommerce,,,,,,,,,,,,,,
7/4/2026,Operator,dzoan,space X — Amazon,space X,elon musk,elon@starlink,1222333444,ecommerce,1234,DFW — Dallas,DFW — Dallas,1,Wave 1,85,FLEX Ready,Large,Core,ecommerce,Rehost,11,3,ACTIVE,,Amazon,"5 component type: application, 1 component type: api gateway, 1 component type: database, 1 component type: cache, 1 component type: queue, 1 component type: worker, 1 component type: monitoring",7/5/2026,7/9/2026,,,1234,ecommerce,,,,,,,,,,,,,,
